Word,Count
salt,3
left,3
speed,3
incestuous,3
enemy,3
goodly,3
admiration,3
appears,3
dreadful,3
secrecy,3
third,3
loud,3
foot,3
lookd,3
stayd,3
assume,3
mens,3
inward,3
chaste,3
spring,3
occasion,3
aboard,3
shoulder,3
sail,3
laying,3
few,3
steel,3
purse,3
fancy,3
rich,3
generous,3
edge,3
canst,3
tenders,3
taen,3
honourable,3
presence,3
mere,3
pious,3
ways,3
wont,3
ordnance,3
addition,3
pith,3
complexion,3
natures,3
livery,3
pure,3
corruption,3
often,3
angels,3
defend,3
royal,3
burst,3
ignorance,3
making,3
wherefore,3
beckons,3
waves,3
fee,3
tempt,3
ruld,3
v,3
crimes,3
process,3
wretch,3
stole,3
distracted,3
past,3
boy,3
youll,3
neer,3
saint,3
wondrous,3
ift,3
wanton,3
gaming,3
faults,3
fiery,3
country,3
observe,3
piteous,3
doors,3
close,3
entreat,3
vouchsafe,3
gather,3
profit,3
visitation,3
sovereign,3
liege,3
feast,3
distemper,3
borne,3
likes,3
outward,3
foolish,3
remains,3
faithful,3
prove,3
idle,3
mistress,3
prince,3
provd,3
otherwise,3
encounter,3
thick,3
hits,3
except,3
ah,3
indifferent,3
children,3
happy,3
parts,3
worlds,3
denmarks,3
count,3
dreams,3
shadow,3
beggar,3
justly,3
confession,3
brave,3
golden,3
delights,3
stuff,3
rapiers,3
thither,3
sides,3
nation,3
unless,3
carry,3
twenty,3
ducats,3
ceremony,3
actor,3
jephthah,3
judge,3
hadst,3
loved,3
five,3
judgments,3
lines,3
horse,3
finds,3
rage,3
seeming,3
blow,3
stick,3
bold,3
below,3
new,3
wheel,3
mobled,3
sport,3
gonzago,3
dozen,3
force,3
ignorant,3
creatures,3
organ,3
order,3
content,3
accident,3
unseen,3
suffers,3
wish,3
blame,3
withdraw,3
suffer,3
proud,3
patient,3
powers,3
ladies,3
haply,3
tear,3
tame,3
special,3
pipe,3
guilt,3
maids,3
neck,3
leaves,3
kisses,3
counsel,3
thirty,3
wed,3
shell,3
jest,3
lucianus,3
worse,3
murderer,3
estate,3
rises,3
recorders,3
heels,3
closet,3
skill,3
pluck,3
bless,3
prepare,3
repent,3
revengd,3
rat,3
rash,3
seal,3
mountain,3
wast,3
feeling,3
vice,3
alack,3
rapier,3
dry,3
worm,3
purposes,3
poland,3
trick,3
fight,3
tricks,3
tongues,3
pit,3
nonny,3
becomes,3
sailors,3
excellence,3
liberal,3
argal,3
gallows,3
throws,3
clay,3
liest,3
years,3
nine,3
rites,3
priest,3
hangers,3
trial,3
win,3
odds,3
mouse,2
soldier,2
relievd,2
apparition,2
approve,2
tush,2
pole,2
burns,2
bell,2
spoke,2
tremble,2
ice,2
jump,2
strict,2
war,2
divide,2
inform,2
least,2
whisper,2
valiant,2
side,2
heraldry,2
article,2
lawless,2
food,2
diet,2
enterprise,2
source,2
wars,2
trouble,2
rome,2
julius,2
roman,2
streets,2
trains,2
neptunes,2
empire,2
fates,2
blast,2
fate,2
happily,2
strike,2
majestical,2
blows,2
malicious,2
crew,2
awake,2
confine,2
bird,2
walks,2
needful,2
mirth,2
equal,2
scale,2
taken,2
weak,2
meeting,2
scarcely,2
nephews,2
suppress,2
gait,2
levies,2
dispatch,2
bearers,2
asking,2
throne,2
willingly,2
graces,2
kin,2
knowst,2
forcd,2
actions,2
obligation,2
term,2
understanding,2
vulgar,2
opposition,2
absurd,2
today,2
immediate,2
dearest,2
bears,2
intent,2
going,2
remain,2
prayers,2
reply,2
whereof,2
drinks,2
thunder,2
melt,2
weary,2
merely,2
roughly,2
fed,2
shoes,2
followed,2
wants,2
married,2
truant,2
bakd,2
coldly,2
tables,2
foe,2
deliver,2
witness,2
waste,2
middle,2
sirs,2
troubles,2
armd,2
toe,2
red,2
hundred,2
sable,2
hitherto,2
requite,2
twixt,2
rise,2
poloniuss,2
assistant,2
toy,2
forward,2
lasting,2
perfume,2
bulk,2
waxes,2
soil,2
weighd,2
fits,2
weigh,2
songs,2
open,2
prodigal,2
canker,2
galls,2
disclosd,2
imminent,2
wary,2
puffd,2
laertess,2
precepts,2
character,2
grapple,2
palm,2
beware,2
quarrel,2
proclaims,2
station,2
servants,2
lockd,2
baby,2
dearly,2
holy,2
catch,2
maiden,2
rate,2
breathing,2
beguile,2
plain,2
slander,2
moment,2
talk,2
eager,2
held,2
rhenish,2
born,2
observance,2
performd,2
chances,2
mole,2
origin,2
breaking,2
stamp,2
defect,2
virtues,2
substance,2
scandal,2
charitable,2
comst,2
hideous,2
fools,2
horridly,2
shake,2
beyond,2
summit,2
desperation,2
roar,2
petty,2
issue,2
rotten,2
flames,2
forbid,2
eternal,2
wings,2
swift,2
sweep,2
apt,2
shouldst,2
orchard,2
serpent,2
sting,2
wears,2
witchcraft,2
lust,2
falling,2
dignity,2
vow,2
celestial,2
secure,2
smooth,2
cut,2
sin,2
couch,2
contrive,2
sinews,2
seat,2
wipe,2
book,2
baser,2
smile,2
wonderful,2
arrant,2
scholars,2
sworn,2
sayst,2
propose,2
oath,2
remove,2
philosophy,2
odd,2
doubtful,2
willing,2
lips,2
money,2
marvellous,2
wisely,2
behaviour,2
finding,2
nearer,2
demands,2
dishonour,2
heed,2
swearing,2
fetch,2
working,2
having,2
assurd,2
according,2
former,2
inclination,2
knees,2
profound,2
seemd,2
jealousy,2
proper,2
opinions,2
sending,2
pleasures,2
unknown,2
talkd,2
living,2
gentry,2
majesties,2
entreaty,2
bent,2
feet,2
thambassadors,2
trail,2
lunacy,2
fruit,2
sons,2
sickness,2
allowance,2
meantime,2
labour,2
limbs,2
obedience,2
beautified,2
numbers,2
receivd,2
playd,2
lock,2
admit,2
weakness,2
likely,2
points,2
hid,2
hours,2
lobby,2
loose,2
falln,2
farm,2
reading,2
fishmonger,2
picked,2
breed,2
maggots,2
dog,2
extremity,2
faces,2
purging,2
method,2
pregnant,2
tedious,2
cap,2
favours,2
strumpet,2
ambitious,2
shadows,2
beggars,2
wait,2
