Word,Count
angry,4
wives,4
simply,4
shock,4
stepped,4
suspected,4
determined,4
gesture,4
absorbed,4
merely,4
jersey,4
hill,4
corners,4
statement,4
admitted,4
straight,4
free,4
empty,4
gravel,4
baedeker,4
youth,4
phrase,4
pocket,4
carry,4
slowed,4
card,4
tragic,4
covered,4
pay,4
starting,4
rosy,4
sidewalk,4
sentimental,4
oggsford,4
england,4
fixed,4
plaza,4
admired,4
em,4
snow,4
mad,4
central,4
invite,4
tired,4
fire,4
thrown,4
corrected,4
finn,4
follow,4
frightened,4
parted,4
embarrassed,4
vivid,4
cry,4
amount,4
store,4
parents,4
aside,4
force,4
drugstores,4
flushed,4
blessed,4
ale,4
gets,4
nor,4
gaod,4
drawingroom,4
anxiously,4
shows,4
sign,3
repeat,3
sense,3
founded,3
wake,3
western,3
clan,3
brother,3
centre,3
ragged,3
practical,3
finnish,3
electric,3
fast,3
promising,3
reading,3
wrote,3
limited,3
north,3
unusual,3
crushed,3
contact,3
source,3
bizarre,3
forty,3
removed,3
national,3
drift,3
drifting,3
power,3
boots,3
opinion,3
including,3
italian,3
space,3
breeze,3
ceiling,3
moments,3
snap,3
shut,3
stranger,3
length,3
hint,3
absurd,3
tribute,3
cared,3
exciting,3
wreath,3
baby,3
annoyed,3
glancing,3
alert,3
anywhere,3
complained,3
pantry,3
tense,3
compelled,3
lightly,3
hips,3
candles,3
frowning,3
longest,3
awed,3
absence,3
different,3
phase,3
sheer,3
unexpected,3
rise,3
hesitation,3
nod,3
enthusiastically,3
service,3
worse,3
breathlessly,3
glow,3
frowned,3
untrue,3
breathless,3
meaning,3
verge,3
outdoors,3
bird,3
stables,3
guess,3
scepticism,3
shrill,3
situation,3
vigil,3
perfectly,3
tangible,3
chain,3
emotions,3
possessed,3
absently,3
woke,3
thinks,3
flashed,3
instant,3
asserted,3
bloomed,3
dull,3
paper,3
magazine,3
knee,3
tournament,3
contemptuous,3
arrange,3
stairs,3
aunt,3
spend,3
lots,3
important,3
rumours,3
rush,3
ideas,3
wings,3
earth,3
share,3
content,3
involuntarily,3
halfway,3
valley,3
forms,3
rising,3
track,3
stir,3
halt,3
mistress,3
sauntered,3
elbow,3
violence,3
main,3
approached,3
third,3
bare,3
apartments,3
proprietor,3
handsome,3
sell,3
slow,3
stout,3
perceptible,3
eye,3
intently,3
dumb,3
tattle,3
tapped,3
earnestly,3
bore,3
doubtfully,3
exactly,3
thatll,3
bother,3
mckees,3
doors,3
furniture,3
blurred,3
resolved,3
powdered,3
eyebrows,3
incessant,3
innumerable,3
hovered,3
intense,3
dear,3
fellas,3
forth,3
orders,3
scared,3
bored,3
tray,3
gasoline,3
living,3
keeping,3
europe,3
surprisingly,3
whod,3
