,Word,romeoandjuliet,greatgatsby,mobydick,querybook
310,sight,8.0,13.0,103.0,9.0
311,enough,8.0,15.0,74.0,7.0
312,torch,8.0,0.0,1.0,0.0
313,thats,8.0,40.0,73.0,16.0
314,times,8.0,17.0,110.0,8.0
315,things,8.0,30.0,125.0,12.0
316,mens,8.0,2.0,5.0,3.0
317,anon,8.0,1.0,9.0,6.0
318,vile,8.0,0.0,5.0,6.0
319,musicians,8.0,0.0,0.0,0.0
320,swear,8.0,0.0,13.0,9.0
321,saint,8.0,0.0,2.0,3.0
322,meet,8.0,8.0,18.0,9.0
323,high,8.0,16.0,98.0,4.0
324,words,8.0,15.0,29.0,20.0
325,sorrow,8.0,0.0,4.0,6.0
326,woes,8.0,0.0,1.0,0.0
327,bones,8.0,0.0,41.0,4.0
328,hie,8.0,0.0,0.0,0.0
329,thought,8.0,47.0,147.0,11.0
330,apothecary,8.0,0.0,2.0,0.0
331,churchyard,8.0,0.0,4.0,1.0
332,fearful,7.0,0.0,12.0,1.0
333,hours,7.0,7.0,42.0,2.0
334,mean,7.0,18.0,37.0,10.0
335,while,7.0,47.0,240.0,13.0
336,montagues,7.0,0.0,0.0,0.0
337,shows,7.0,4.0,7.0,9.0
338,feel,7.0,10.0,56.0,1.0
339,flesh,7.0,1.0,22.0,5.0
340,hell,7.0,3.0,28.0,11.0
341,three,7.0,35.0,235.0,8.0
342,noise,7.0,1.0,11.0,8.0
343,fire,7.0,4.0,60.0,12.0
344,bloody,7.0,1.0,7.0,7.0
345,found,7.0,36.0,113.0,5.0
346,morning,7.0,29.0,72.0,5.0
347,air,7.0,25.0,133.0,12.0
348,lets,7.0,11.0,22.0,13.0
349,short,7.0,14.0,54.0,5.0
350,cold,7.0,14.0,29.0,6.0
351,sick,7.0,10.0,9.0,4.0
352,sea,7.0,8.0,363.0,6.0
353,near,7.0,7.0,64.0,10.0
354,hit,7.0,1.0,12.0,6.0
355,canst,7.0,0.0,20.0,3.0
356,behold,7.0,0.0,16.0,1.0
357,stars,7.0,5.0,13.0,4.0
358,dark,7.0,25.0,55.0,1.0
359,gives,7.0,4.0,18.0,8.0
360,writ,7.0,0.0,2.0,5.0
361,fortune,7.0,0.0,0.0,11.0
362,book,7.0,14.0,56.0,2.0
363,herself,7.0,6.0,7.0,6.0
364,thousand,7.0,6.0,49.0,11.0
365,beseech,7.0,0.0,1.0,7.0
366,follow,7.0,4.0,20.0,21.0
367,measure,7.0,1.0,14.0,0.0
368,tender,7.0,1.0,6.0,4.0
369,ear,7.0,9.0,11.0,17.0
370,bosom,7.0,1.0,7.0,4.0
371,hot,7.0,25.0,23.0,6.0
372,sit,7.0,13.0,14.0,8.0
373,past,7.0,14.0,20.0,3.0
374,fetch,7.0,0.0,11.0,2.0
375,honest,7.0,2.0,13.0,11.0
376,looks,7.0,7.0,24.0,8.0
377,open,7.0,24.0,66.0,2.0
378,thyself,7.0,0.0,24.0,5.0
379,murder,7.0,0.0,10.0,13.0
380,sudden,7.0,5.0,43.0,5.0
381,next,7.0,35.0,56.0,5.0
382,tomb,7.0,0.0,4.0,1.0
383,killd,7.0,0.0,0.0,6.0
384,corse,7.0,0.0,0.0,3.0
385,juliets,7.0,0.0,0.0,0.0
386,woeful,7.0,0.0,2.0,0.0
387,dagger,7.0,0.0,1.0,1.0
388,moved,6.0,27.0,14.0,0.0
389,stir,6.0,3.0,4.0,5.0
390,maids,6.0,0.0,0.0,3.0
391,hadst,6.0,0.0,1.0,3.0
392,abram,6.0,0.0,0.0,0.0
393,thumb,6.0,1.0,2.0,1.0
394,serve,6.0,0.0,6.0,2.0
395,remember,6.0,16.0,16.0,12.0
396,fight,6.0,3.0,18.0,3.0
397,among,6.0,21.0,163.0,1.0
398,servants,6.0,7.0,1.0,2.0
399,close,6.0,15.0,49.0,3.0
400,hurt,6.0,2.0,2.0,2.0
401,might,6.0,26.0,179.0,32.0
402,seen,6.0,31.0,156.0,22.0
403,deep,6.0,13.0,63.0,4.0
404,home,6.0,27.0,54.0,6.0
405,prove,6.0,0.0,13.0,3.0
406,unless,6.0,1.0,28.0,3.0
407,envious,6.0,0.0,1.0,1.0
408,aside,6.0,4.0,27.0,11.0
409,morrow,6.0,0.0,2.0,1.0
410,loving,6.0,1.0,7.0,3.0
411,lead,6.0,0.0,12.0,4.0
412,breast,6.0,2.0,6.0,1.0
413,dies,6.0,0.0,6.0,8.0
414,read,6.0,11.0,27.0,5.0
415,ii,6.0,1.0,15.0,6.0
416,street,6.0,14.0,11.0,0.0
417,fourteen,6.0,0.0,1.0,0.0
418,bride,6.0,0.0,2.0,0.0
419,feast,6.0,0.0,6.0,3.0
420,sirrah,6.0,0.0,0.0,0.0
421,names,6.0,8.0,11.0,1.0
422,letters,6.0,2.0,10.0,8.0
423,iii,6.0,1.0,12.0,4.0
424,wheres,6.0,2.0,6.0,2.0
425,girl,6.0,47.0,4.0,1.0
426,matter,6.0,20.0,82.0,27.0
427,age,6.0,5.0,21.0,9.0
428,under,6.0,32.0,114.0,5.0
429,fool,6.0,7.0,14.0,7.0
430,jest,6.0,0.0,0.0,3.0
431,wast,6.0,0.0,2.0,3.0
432,wish,6.0,2.0,13.0,3.0
433,less,6.0,12.0,51.0,8.0
434,strength,6.0,1.0,24.0,2.0
435,nights,6.0,4.0,14.0,4.0
436,five,6.0,32.0,37.0,3.0
437,spoke,6.0,10.0,15.0,2.0
438,care,6.0,14.0,11.0,0.0
439,tale,6.0,1.0,1.0,4.0
440,yonder,6.0,0.0,18.0,2.0
441,cheek,6.0,3.0,6.0,2.0
442,youth,6.0,4.0,9.0,16.0
443,thank,6.0,1.0,12.0,9.0
444,enemy,6.0,0.0,3.0,3.0
445,strange,6.0,6.0,96.0,9.0
446,kind,6.0,10.0,24.0,12.0
447,speaks,6.0,0.0,4.0,6.0
448,arm,6.0,14.0,79.0,5.0
449,stop,6.0,14.0,33.0,4.0
450,didst,6.0,0.0,12.0,4.0
451,reenter,6.0,0.0,0.0,4.0
452,company,6.0,4.0,33.0,1.0
453,flowers,6.0,7.0,4.0,4.0
454,itself,6.0,18.0,83.0,24.0
455,cheeks,6.0,1.0,7.0,0.0
456,goose,6.0,0.0,1.0,0.0
457,cords,6.0,0.0,7.0,0.0
458,fie,6.0,0.0,0.0,6.0
459,princes,6.0,0.0,2.0,1.0
460,doom,6.0,0.0,15.0,1.0
461,exile,6.0,0.0,1.0,0.0
462,banishment,6.0,0.0,0.0,0.0
463,lark,6.0,0.0,0.0,0.0
464,proud,6.0,2.0,8.0,3.0
465,break,5.0,2.0,21.0,8.0
466,civil,5.0,1.0,2.0,0.0
467,piteous,5.0,0.0,2.0,3.0
468,swords,5.0,0.0,1.0,1.0
469,strike,5.0,0.0,30.0,2.0
470,quickly,5.0,15.0,21.0,1.0
471,dog,5.0,15.0,16.0,2.0
472,heads,5.0,3.0,44.0,2.0
473,pretty,5.0,14.0,28.0,2.0
474,dare,5.0,0.0,14.0,6.0
475,side,5.0,26.0,183.0,2.0
476,citizens,5.0,0.0,0.0,0.0
477,foe,5.0,0.0,14.0,2.0
478,pleasure,5.0,1.0,4.0,4.0
479,withal,5.0,0.0,3.0,6.0
480,scorn,5.0,4.0,5.0,1.0
481,right,5.0,50.0,136.0,11.0
482,sighs,5.0,0.0,2.0,1.0
483,cause,5.0,1.0,21.0,17.0
484,friends,5.0,8.0,16.0,20.0
485,far,5.0,18.0,157.0,11.0
486,shrift,5.0,0.0,0.0,0.0
487,nine,5.0,6.0,8.0,3.0
488,sad,5.0,7.0,9.0,0.0
489,rough,5.0,0.0,4.0,0.0
490,bright,5.0,16.0,23.0,0.0
491,going,5.0,70.0,85.0,2.0
492,soft,5.0,7.0,30.0,9.0
493,mark,5.0,0.0,49.0,14.0
494,gold,5.0,6.0,34.0,1.0
495,wise,5.0,1.0,19.0,2.0
496,wisely,5.0,0.0,1.0,2.0
497,ladies,5.0,4.0,13.0,3.0
498,blind,5.0,5.0,15.0,0.0
499,honourable,5.0,0.0,0.0,3.0
500,change,5.0,12.0,8.0,4.0
501,consent,5.0,0.0,1.0,4.0
502,voice,5.0,58.0,45.0,12.0
503,written,5.0,1.0,11.0,1.0
504,fellow,5.0,6.0,39.0,8.0
505,daughters,5.0,0.0,4.0,1.0
506,brother,5.0,3.0,9.0,9.0
507,room,5.0,55.0,44.0,15.0
